ID,Nom,LieuDit,Bassin,DateDebut,DateFin,Type,Altitude,Latitude,Longitude
1014002,ARBENT,AUX CARROS,V251,2003-10-01 00:00:00,,1,534,46.27816666666666,5.669
1027003,BALAN (BALAN_AERO),Le Stade,NR,2014-05-26 00:00:00,,2,196,45.833,5.1066666666666665
1033002,VALSERHONE (BELLEGARDE),ARLOD,V102,1994-04-01 00:00:00,2023-12-10 00:00:00,2,350,46.0865,5.814166666666667
1034004,BELLEY,SAINT-SEBASTIEN,V146,2001-09-13 00:00:00,,1,330,45.769333333333336,5.688
1053001,BOURG-EN-BRESSE (BOURG EN BRESSE),EQUIPEMENT,U401,1845-01-01 00:00:00,1992-12-31 00:00:00,4,240,46.20666666666666,5.221666666666667
1064001,BRIORD (VERIZIEU),VERIZIEU,NR,2015-01-01 00:00:00,,2,281,45.777166666666666,5.487166666666667
1071001,CESSY,CERN,V036,2002-05-01 00:00:00,,1,507,46.31033333333333,6.080333333333333
1072001,JASSERON (CEYZERIAT_SAPC),AERODROME DE BOURG CEYZERIAT,U402,1994-08-01 00:00:00,,2,260,46.20433333333333,5.2876666666666665
1089001,CHATEAU-GAILLARD (AMBERIEU),AERODROME D'AMBERIEU,V290,1934-03-01 00:00:00,,0,250,45.9765,5.3293333333333335
1143002,DIVONNE-LES-BAINS (DIVONNE ZA),ZONE ARTISANALE,V036,2003-10-01 00:00:00,,2,467,46.3415,6.139666666666667
1174001,GIRON,GIRON DERRIERE,V101,1959-01-01 00:00:00,2020-12-31 00:00:00,4,1015,46.23,5.7725
1200002,LABALME (LA BALME SUR CERDON_SAPC),LE VILLAGE,V270,2004-12-01 00:00:00,,2,596,46.09,5.482
1204002,LE POIZAT-LALLEYRIAT (BURL),LE BURLANDIER,V101,1996-04-01 00:00:00,2005-10-24 00:00:00,3,530,46.16666666666666,5.706666666666667
1235001,MARLIEUX,LE CLOU,U440,1956-01-01 00:00:00,,2,280,46.0385,5.044333333333333
1235002,MARLIEUX,LES CERISIERS,U423,1999-08-01 00:00:00,2018-09-30 00:00:00,3,273,46.04666666666667,5.073333333333333
1247003,MIJOUX,Golf,V101,1929-01-01 00:00:00,,2,1002,46.37883333333333,6.019333333333333
1255002,MONTAGNIEU,BOURG,V162,1990-01-01 00:00:00,2020-12-31 00:00:00,4,336,45.79433333333333,5.469333333333333
1269001,NANTUA,,V251,1852-01-01 00:00:00,,2,483,46.14816666666667,5.607333333333333
1283001,OYONNAX,LES FOURCHES,V251,1989-01-01 00:00:00,2006-04-30 00:00:00,4,535,46.27166666666667,5.661666666666667
1301001,POLLIAT,LE GRAND VERNAY,U422,1992-08-01 00:00:00,1996-06-30 00:00:00,2,201,46.236666666666665,5.11
1367002,SAINT-JULIEN-SUR-REYSSOUZE (SAINT JULIEN SUR REYSSOUZE),BOURG,U405,1990-02-01 00:00:00,,2,189,46.40316666666666,5.109833333333333
1384003,SAINT-RAMBERT-EN-BUGEY (ST RAMBERT CG01),MOULIN-A-PAPIER,V292,2001-12-01 00:00:00,,3,296,45.95033333333333,5.461
1414001,VALROMEY-SUR-SERAN (SUTRIEU),COL DE LA LEBE,V141,2002-09-01 00:00:00,,1,878,45.91616666666667,5.624666666666666
1419001,THOIRY,LES HAUTS DE THOIRY,V041,1994-09-01 00:00:00,2002-08-31 00:00:00,3,605,46.24166666666667,5.968333333333334
2037002,LAON (AULNOIS-SS-LAON),FERME D'ALLEMAGNE,H016,1988-10-01 00:00:00,,1,78,49.595666666666666,3.610333333333333
2058001,BEAURIEUX,RUE DU GENERAL DE GAULLE,H145,1949-12-01 00:00:00,,2,56,49.39033333333333,3.732666666666667
2094001,BLESMES,LES AULNES BOUILLANTS,F620,1985-12-01 00:00:00,,1,222,49.00966666666667,3.462666666666667
2110002,BRAINE,FERME DU PARC,H158,1988-08-01 00:00:00,,1,61,49.351333333333336,3.527
2173002,CHAUNY,EC. AGRIC.,H021,1988-07-01 00:00:00,,1,83,49.633833333333335,3.197833333333333
2197001,CLAIRFONTAINE,COUR DE BRAY,H002,1987-09-01 00:00:00,2007-03-01 00:00:00,2,225,49.96666666666667,3.966666666666667
2320001,FONTAINE-LES-CLERCS (ST QUENTIN),AEROD. ST-QUENTIN,E607,1933-01-01 00:00:00,,0,98,49.818333333333335,3.206
2321002,FONTAINE-LES-VERVINS (FONTAINE-LES-VV),LYC. AGRIC. BERGERIE,H011,1987-07-01 00:00:00,,1,186,49.83733333333333,3.877833333333333
2346001,GIZY,54 ROUTE NATIONALE,H015,1945-01-01 00:00:00,,2,75,49.599833333333336,3.781
2381001,HIRSON,RUE DU 4 SEPT.,H002,1859-01-01 00:00:00,,2,165,49.922,4.077166666666667
2471001,MARTIGNY-COURPIERRE (MARTIGNY-COURPI),CHAVAILLES,H022,1955-12-01 00:00:00,,2,95,49.48566666666667,3.6931666666666665
2585001,PARCY-ET-TIGNY,TIGNY,F633,1954-08-01 00:00:00,,2,148,49.280166666666666,3.331
2594001,PASSY-EN-VALOIS (PASSY EN VALOIS),EPINE DU HAUT-LIMON,F632,1987-05-01 00:00:00,2015-03-01 00:00:00,2,141,49.16516666666666,3.199666666666667
2705001,NIZY-LE-COMTE,Les Anguiers,H135,1986-07-01 00:00:00,,1,90,49.566,4.0365
2738001,TERGNIER,FERME COMPAGNON,H020,1956-10-01 00:00:00,,2,59,49.663833333333336,3.320666666666667
3005001,ARCHIGNAT,LE LIAT,K523,1969-10-01 00:00:00,2013-12-31 00:00:00,3,370,46.35933333333333,2.433666666666667
3005002,ARCHIGNAT (ARCHIGNAT-SPC),SPC-223-LE SIGNAL-DE-L-AGE,NR,2017-12-01 00:00:00,,5,557,46.3325,2.3858333333333333
3013001,AVERMES (AVERMES RUE DES GATEAUX),RUE DES GATEAUX,K345,1897-01-01 00:00:00,1958-10-31 00:00:00,4,215,46.58833333333333,3.306666666666666
